"site.no","station.nm","Trib.Name","dec.lat.va","dec.long.va","lake","WQ ID IF DIFFERENT","Country","Water Quality Samples","Streamflow","drain.area.va","tz.cd"
"06007603602","West Credit River",,,,"Ontario",,"CAN",,,,
"06007602802","West Credit River","Credit River (Erin Branch)",,,"Ontario",,"CAN",,,,
"06007602702","West Credit River",,,,"Ontario",,"CAN",,,,
"06010411602","Tributary to Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010411502","Tributary to Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010411402","Tributary to West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010411302","West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010410302","Wixon Creek","Wixon Creek",,,"Ontario",,"CAN",,,,
"06010410202","Brougham Creek (East Branch)","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010410102","Brougham Creek (West Branch)","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010409702","Tributary to West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010409602","Tributary to Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010409302","Trib to Duffins Ck",,,,"Ontario",,"CAN",,,,
"06008305602","Trib to Humber River",,,,"Ontario",,"CAN",,,,
"17002153502","Unnamed Creek",,,,"Ontario",,"CAN",,,,
"06010407502","Trib to Duffins Creek",,,,"Ontario",,"CAN",,,,
"17002113902","Anstruther Lake Outlet","Anstruther Creek",,,"Ontario",,"CAN",,,,
"17002113802","Stoney Creek","Stony Creek",,,"Ontario",,"CAN",,,,
"06008304802","Humber River",,,,"Ontario",,"CAN",,,,
"06008304702","West Humber River","West Humber River",,,"Ontario",,"CAN",,,,
"06015900102","Slab Creek",,,,"Ontario",,"CAN",,,,
"17000900102","Hospital Creek",,,,"Ontario",,"CAN",,,,
"11000101102","Welland River","Beaver Creek",,,"Ontario",,"CAN",,,,
"11000101002","Chippawa Power Canal",,,,"Ontario",,"CAN",,,,
"11000100902","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100802","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100702","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100602","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100502","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100402","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100383","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100302","Welland River","Welland River",,,"Ontario",,"CAN",,,,
"11000100202","Chippawa Canal",,,,"Ontario",,"CAN",,,,
"11000100102","Chippawa Canal",,,,"Ontario",,"CAN",,,,
"09000702302","Indian Creek","Indian Creek",,,"Ontario",,"CAN",,,,
"09000702202","Hagar-Rambo Diversion Channel","Indian Creek",,,"Ontario",,"CAN",,,,
"06014200102","Shelter Valley Brook","Shelter Valley Creek",,,"Ontario",,"CAN",,,,
"06014100102","Grafton Creek",,,,"Ontario",,"CAN",,,,
"06013900202","Brookside Creek",,,,"Ontario",,"CAN",,,,
"06013900102","Brookside Creek",,,,"Ontario",,"CAN",,,,
"06013300402","Cobourg Creek","Cobourg Brook",,,"Ontario",,"CAN",,,,
"06013300302","Cobourg Creek",,,,"Ontario",,"CAN",,,,
"06013300202","Cobourg Creek",,,,"Ontario",,"CAN",,,,
"06013300102","Cobourg Creek","Cobourg Brook",,,"Ontario",,"CAN",,,,
"06013000102","Gage Creek","Gage Creek",,,"Ontario",,"CAN",,,,
"06012900302","Ganaraska River","Ganaraska River",,,"Ontario",,"CAN",,,,
"06012900202","Ganaraska River","Ganaraska River",,,"Ontario",,"CAN",,,,
"06012900102","Ganaraska River","Ganaraska River",,,"Ontario",,"CAN",,,,
"06011800102","Graham Creek","Graham Creek",,,"Ontario",,"CAN",,,,
"06011700302","Wilmot Creek","Wilmot Creek",,,"Ontario",,"CAN",,,,
"06011700202","Orono Creek","Orono Creek",,,"Ontario",,"CAN",,,,
"06011700102","Wilmot Creek","Wilmot Creek",,,"Ontario",,"CAN",,,,
"06011600302","Soper Brook","Soper Creek",,,"Ontario",,"CAN",,,,
"06011600202","Soper Brook","Bowmanville Creek",,,"Ontario",,"CAN",,,,
"06011600102","Bowmanville Creek","Bowmanville Creek",,,"Ontario",,"CAN",,,,
"06011200302","Farewell Creek","Farewell Creek",,,"Ontario",,"CAN",,,,
"06011200202","Farewell Creek","Farewell Creek",,,"Ontario",,"CAN",,,,
"06011200102","Harmony Creek","Harmony Creek",,,"Ontario",,"CAN",,,,
"06011100202","Montgomery Creek",,,,"Ontario",,"CAN",,,,
"06011100102","Oshawa Creek","Oshawa Creek",,,"Ontario",,"CAN",,,,
"06010900302","Pringle Creek","Pringle Creek",,,"Ontario",,"CAN",,,,
"06010900102","Pringle Creek","Pringle Creek",,,"Ontario",,"CAN",,,,
"06010800402","Lynde Creek","Lynde Creek",,,"Ontario",,"CAN",,,,
"06010800302","Lynde Creek","Lynde Creek",,,"Ontario",,"CAN",,,,
"06010800202","Lynde Creek","Lynde Creek",,,"Ontario",,"CAN",,,,
"06010800102","Lynde Creek","Lynde Creek",,,"Ontario",,"CAN",,,,
"06010700102","Carruthers Creek",,,,"Ontario",,"CAN",,,,
"06010410802","Stouffville","Stouffville Creek",,,"Ontario",,"CAN",,,,
"06010409902","Miller's Creek",,,,"Ontario",,"CAN",,,,
"06010409802","Trib. to w. Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010405702","Urfe Creek","Urfé Creek",,,"Ontario",,"CAN",,,,
"06010405202","Brougham Creek Tributary",,,,"Ontario",,"CAN",,,,
"06010405102","Brougham Creek","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010405002","Brougham Creek","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010404902","Ganateskiagon Creek",,,,"Ontario",,"CAN",,,,
"06010404802","Brougham Creek","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010404702","Urfe Creek","Urfé Creek",,,"Ontario",,"CAN",,,,
"06010404602","Urfe Creek","Urfé Creek",,,"Ontario",,"CAN",,,,
"06010404502","West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010404402","West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010404302","West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010404202","Reesor Creek","Reesor Creek",,,"Ontario",,"CAN",,,,
"06010404102","West Duffins Creek Tributary","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010404002","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403802","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403702","Reesor Creek","Reesor Creek",,,"Ontario",,"CAN",,,,
"06010403602","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403502","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403402","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403302","Mitchell Creek Tributary",,,,"Ontario",,"CAN",,,,
"06010403202","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403102","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010403002","Mitchell Creek","Michell Creek",,,"Ontario",,"CAN",,,,
"06010402902","Mitchell Creek","Michell Creek",,,"Ontario",,"CAN",,,,
"06010402802","Brougham Creek","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010402702","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010402602","Urfe Creek","Urfé Creek",,,"Ontario",,"CAN",,,,
"06010402502","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010402402","Ganateskiagon Creek","Ganatsekiagon Creek",,,"Ontario",,"CAN",,,,
"06010402302","Ganateskiagon Creek","Ganatsekiagon Creek",,,"Ontario",,"CAN",,,,
"06010402202","Ganateskiagon Creek","Ganatsekiagon Creek",,,"Ontario",,"CAN",,,,
"06010402102","Wixon Creek","Wixon Creek",,,"Ontario",,"CAN",,,,
"06010402002","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010401902","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010401802","Wixon Creek","Wixon Creek",,,"Ontario",,"CAN",,,,
"06010401702","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010401602","Reesor Creek","Reesor Creek",,,"Ontario",,"CAN",,,,
"06010401502","Reesor Creek","Reesor Creek",,,"Ontario",,"CAN",,,,
"06010401402","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010401302","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010401202","Stouffville Creek",,,,"Ontario",,"CAN",,,,
"06010401102","Stouffville Creek","Stouffville Creek",,,"Ontario",,"CAN",,,,
"06010401002","West Duffins Creek",,,,"Ontario",,"CAN",,,,
"06010400902","West Duffins Creek","West Duffins Creek",,,"Ontario",,"CAN",,,,
"06010400802","Mitchell Creek","Michell Creek",,,"Ontario",,"CAN",,,,
"06010400702","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010400602","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010400502","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010400302","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06010400202","Duffins Creek","Brougham Creek",,,"Ontario",,"CAN",,,,
"06010400102","Duffins Creek","Duffins Creek",,,"Ontario",,"CAN",,,,
"06009900102","Petticoat Creek","Petticoat Creek",,,"Ontario",,"CAN",,,,
"06009701702","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009701602","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009701502","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009701402","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009701302","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009701202","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009701102","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009701002","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700902","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700802","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700702","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700602","Little Rouge Creek","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700502","Rouge River","Little Rouge Creek",,,"Ontario",,"CAN",,,,
"06009700302","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009700202","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009700102","Rouge River","Rouge River",,,"Ontario",,"CAN",,,,
"06009400202","Highland Creek","Highland Creek",,,"Ontario",,"CAN",,,,
"06009400102","Highland Creek","Highland Creek",,,"Ontario",,"CAN",,,,
"06008501502","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008501402","Don River","Don River",,,"Ontario",,"CAN",,,,
"06008501302","Don River","Don River",,,"Ontario",,"CAN",,,,
"06008501202","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008501102","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008501002","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500902","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500802","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500702","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500602","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500502","German Mills Creek","German Mills Creek",,,"Ontario",,"CAN",,,,
"06008500402","Don River West","Don River West Branch",,,"Ontario",,"CAN",,,,
"06008500302","Don River East","Don River East Branch",,,"Ontario",,"CAN",,,,
"06008500202","Don River West","Don River West Branch",,,"Ontario",,"CAN",,,,
"06008500102","Don River","Keating Channel",,,"Ontario",,"CAN",,,,
"06008310102","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008310002","Humber River",,,,"Ontario",,"CAN",,,,
"06008306002","Humber River","Cold Creek",,,"Ontario",,"CAN",,,,
"06008305002","E Trib to Humber River",,,,"Ontario",,"CAN",,,,
"06008304902","W Trib to Humber River",,,,"Ontario",,"CAN",,,,
"06008304602","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008304502","Cold Creek",,,,"Ontario",,"CAN",,,,
"06008304402","Cold Creek",,,,"Ontario",,"CAN",,,,
"06008304302","Trib. to Cold Creek West",,,,"Ontario",,"CAN",,,,
"06008302202","Humber River West","West Humber River",,,"Ontario",,"CAN",,,,
"06008302102","Humber River East","East Humber River",,,"Ontario",,"CAN",,,,
"06008302002","Humber River",,,,"Ontario",,"CAN",,,,
"06008301902","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008301802","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008301702","Salt Creek","Salt Creek",,,"Ontario",,"CAN",,,,
"06008301602","Humber River","West Humber River",,,"Ontario",,"CAN",,,,
"06008301502","Humber River","West Humber River",,,"Ontario",,"CAN",,,,
"06008301402","Humber River West","West Humber River",,,"Ontario",,"CAN",,,,
"06008301302","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008301202","Black Creek","Black Creek",,,"Ontario",,"CAN",,,,
"06008301102","Humber River East","East Humber River",,,"Ontario",,"CAN",,,,
"06008301002","Humber River East",,,,"Ontario",,"CAN",,,,
"06008300902","Cold Creek","Cold Creek",,,"Ontario",,"CAN",,,,
"06008300802","Humber River","Humber River",,,"Ontario",,"CAN",,,,
"06008300702","Humber River Tributary",,,,"Ontario",,"CAN",,,,
"06008300602","Humber River Tributary",,,,"Ontario",,"CAN",,,,
"06008300502","Humber River","Cold Creek",,,"Ontario",,"CAN",,,,
"06008300402","Humber River East","East Humber River",,,"Ontario",,"CAN",,,,
"06008300302","Humber River",,,,"Ontario",,"CAN",,,,
"06008300202","Humber River West","West Humber River",,,"Ontario",,"CAN",,,,
"06008300102","Humber River",,,,"Ontario",,"CAN",,,,
"06008200302","Mimico Creek","Mimico Creek",,,"Ontario",,"CAN",,,,
"06008200202","Mimico Creek","Mimico Creek",,,"Ontario",,"CAN",,,,
"06008200102","Mimico Creek","Mimico Creek",,,"Ontario",,"CAN",,,,
"06008000402","Etobicoke Creek","Etobicoke Creek",,,"Ontario",,"CAN",,,,
"06008000302","Etobicoke Creek","Etobicoke Creek",,,"Ontario",,"CAN",,,,
"06008000202","Etobicoke Creek West","Etobicoke Creek",,,"Ontario",,"CAN",,,,
"06008000102","Etobicoke Creek","Etobicoke Creek",,,"Ontario",,"CAN",,,,
"06007603802","West Credit River",,,,"Ontario",,"CAN",,,,
"06007602402","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007602302","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007602202","Silver Creek","Credit River West Branch",,,"Ontario",,"CAN",,,,
"06007602102","Orangeville Creek",,,,"Ontario",,"CAN",,,,
"06007601902","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007601802","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007601702","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007601602","Fletchers Creek","Fletchers Creek",,,"Ontario",,"CAN",,,,
"06007601502","West Credit River","Credit River (Erin Branch)",,,"Ontario",,"CAN",,,,
"06007601302","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007601202","Silver Creek","Credit River West Branch",,,"Ontario",,"CAN",,,,
"06007601002","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007600902","Credit River Erin Branch","Credit River (Erin Branch)",,,"Ontario",,"CAN",,,,
"06007600802","Black Creek","Black Creek",,,"Ontario",,"CAN",,,,
"06007600602","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007600502","Black Creek","Black Creek",,,"Ontario",,"CAN",,,,
"06007600402","Silver Creek","Credit River West Branch",,,"Ontario",,"CAN",,,,
"06007600302","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06007600102","Credit River","Credit River",,,"Ontario",,"CAN",,,,
"06006800102","Sheridan Creek","Sheridan Creek",,,"Ontario",,"CAN",,,,
"06006301102","East Oakville Creek","East Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006301002","Oakville Creek","Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300902","Oakville Creek","Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300802","Oakville Creek",,,,"Ontario",,"CAN",,,,
"06006300702","Oakville Creek","Middle Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300602","Oakville Creek","Middle Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300502","Oakville Creek","Middle Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300402","Oakville Creek","Middle Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300302","Oakville Creek","Middle Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300202","Oakville Creek","Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006300102","Oakville Creek","Sixteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006100202","Fourteen Mile Creek","Fourteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006100102","Fourteen Mile Creek","Fourteen Mile Creek",,,"Ontario",,"CAN",,,,
"06006000602","Indian Creek",,,,"Ontario",,"CAN",,,,
"06006000502","Bronte Creek","Bronte Creek",,,"Ontario",,"CAN",,,,
"06006000402","Mountsberg Creek","Mountsberg Creek",,,"Ontario",,"CAN",,,,
"06006000302","Mountsberg Creek",,,,"Ontario",,"CAN",,,,
"06006000202","Bronte Creek","Bronte Creek",,,"Ontario",,"CAN",,,,
"06006000102","Bronte Creek","Bronte Creek",,,"Ontario",,"CAN",,,,
"06005400102","Rambo Creek","Rambo Creek",,,"Ontario",,"CAN",,,,
"06005200101","Burlington Canal",,,,"Ontario",,"CAN",,,,
"06005000102","Stoney Creek","Stoney Creek",,,"Ontario",,"CAN",,,,
"06003800102","Forty Mile Creek","Forty Mile Creek",,,"Ontario",,"CAN",,,,
"06003300102","Thirty Mile Creek","Thirty Mile Creek",,,"Ontario",,"CAN",,,,
"06002600102","Vineland Creek",,,,"Ontario",,"CAN",,,,
"06002400602","Twenty Mile Creek","Twenty Mile Creek",,,"Ontario",,"CAN",,,,
"06002400502","Twenty Mile Creek","Twenty Mile Creek",,,"Ontario",,"CAN",,,,
"06002400402","Twenty Mile Creek","Twenty Mile Creek",,,"Ontario",,"CAN",,,,
"06002400302","North Creek","North Creek",,,"Ontario",,"CAN",,,,
"06002400202","Twenty Mile Creek","Twenty Mile Creek",,,"Ontario",,"CAN",,,,
"06002400102","Twenty Mile Creek","Twenty Mile Creek",,,"Ontario",,"CAN",,,,
"06002000102","Sixteen Mile Creek",,,,"Ontario",,"CAN",,,,
"06001900102","Fifteen Mile Creek","Fifteen Mile Creek",,,"Ontario",,"CAN",,,,
"06001700902","Old Welland Canal",,,,"Ontario",,"CAN",,,,
"06001700802","Twelve Mile Creek",,,,"Ontario",,"CAN",,,,
"06001700702","Twelve Mile Creek","Twelve Mile Creek",,,"Ontario",,"CAN",,,,
"06001700602","Shriners Creek",,,,"Ontario",,"CAN",,,,
"06001700501","Gibson Lake",,,,"Ontario",,"CAN",,,,
"06001700402","Twelve Mile Creek","Twelve Mile Creek",,,"Ontario",,"CAN",,,,
"06001700302","Old Welland Canal",,,,"Ontario",,"CAN",,,,
"06001700202","Twelve Mile Creek","Twelve Mile Creek",,,"Ontario",,"CAN",,,,
"06001700102","Twelve Mile Creek",,,,"Ontario",,"CAN",,,,
"06001400202","Welland Ship Canal",,,,"Ontario",,"CAN",,,,
"06001400102","Welland Ship Canal",,,,"Ontario",,"CAN",,,,
"06001000102","Eight Mile Creek","Eight Mile Creek",,,"Ontario",,"CAN",,,,
"06000500102","Six Mile Creek","Six Mile Creek",,,"Ontario",,"CAN",,,,
"06000300502","Four Mile Creek","Four Mile Creek",,,"Ontario",,"CAN",,,,
"06000300402","Four Mile Creek","Four Mile Creek",,,"Ontario",,"CAN",,,,
"06000300302","Four Mile Creek","Four Mile Creek",,,"Ontario",,"CAN",,,,
"06000300202","Four Mile Creek","Four Mile Creek",,,"Ontario",,"CAN",,,,
"06000300102","Four Mile Creek","Four Mile Creek",,,"Ontario",,"CAN",,,,
"06000200102","Two Mile Creek","Two Mile Creek",,,"Ontario",,"CAN",,,,
"06000100102","One Mile Creek","One Mile Creek",,,"Ontario",,"CAN",,,,
"05000900102","Usshers Creek",,,,"Ontario",,"CAN",,,,
"05000600202","Black Creek","Black Creek",,,"Ontario",,"CAN",,,,
"05000600102","Black Creek",,,,"Ontario",,"CAN",,,,
"05000500102","Baker Creek","Baker Creek",,,"Ontario",,"CAN",,,,
"05000400102","Miller Creek","Miller Creek",,,"Ontario",,"CAN",,,,
"05000300102","Frenchman Creek","Frenchman's Creek",,,"Ontario",,"CAN",,,,
"17003700402","Wilton Creek","Wilton Creek",,,"Ontario",,"CAN",,,,
"17003700302","Wilton Creek","Wilton Creek",,,"Ontario",,"CAN",,,,
"17003700202","Wilton Creek","Wilton Creek",,,"Ontario",,"CAN",,,,
"17003700102","Wilton Creek","Wilton Creek",,,"Ontario",,"CAN",,,,
"17003500402","Napanee River","Napanee River",,,"Ontario",,"CAN",,,,
"17003500302","Napanee River","Napanee River",,,"Ontario",,"CAN",,,,
"17003500202","Napanee River","Napanee River",,,"Ontario",,"CAN",,,,
"17003500102","Napanee River",,,,"Ontario",,"CAN",,,,
"17003100202","Salmon River","Salmon River",,,"Ontario",,"CAN",,,,
"17003100102","Salmon River","Salmon River",,,"Ontario",,"CAN",,,,
"17002602202","Palliser Creek",,,,"Ontario",,"CAN",,,,
"17002602102","Palliser Creek","Palliser Creek",,,"Ontario",,"CAN",,,,
"17002602002","Lily Creek",,,,"Ontario",,"CAN",,,,
"17002601902","Moira River","Moira River",,,"Ontario",,"CAN",,,,
"17002601802","Madoc Creek","Madoc Creek",,,"Ontario",,"CAN",,,,
"06018300202","Collins Creek","Collins Creek",,,"Ontario",,"CAN",,,,
"06018300102","Collins Creek","Collins Creek",,,"Ontario",,"CAN",,,,
"06018000502","Millhaven Creek","Millhaven Creek",,,"Ontario",,"CAN",,,,
"06018000402","Millhaven Creek","Millhaven Creek",,,"Ontario",,"CAN",,,,
"06018000302","Millhaven Creek","Millhaven Creek",,,"Ontario",,"CAN",,,,
"06018000202","Millhaven Creek","Millhaven Creek",,,"Ontario",,"CAN",,,,
"06018000102","Millhaven Creek","Millhaven Creek",,,"Ontario",,"CAN",,,,
"06017200102","Black Creek","Black Creek",,,"Ontario",,"CAN",,,,
"06016300102","Bloomfield Creek","Bloomfield Creek",,,"Ontario",,"CAN",,,,
"06015700302","Consecon Creek","Consecon Creek",,,"Ontario",,"CAN",,,,
"06015200102","Smithfield Creek","Smithfield Creek",,,"Ontario",,"CAN",,,,
"06015100102","Proctors Creek","Proctors Creek",,,"Ontario",,"CAN",,,,
"06014800102","Salem Creek","Salem Creek",,,"Ontario",,"CAN",,,,
"06014600102","Colborne Creek","Colborne Creek",,,"Ontario",,"CAN",,,,
"06014200202","Shelter Valley Brook","Shelter Valley Creek",,,"Ontario",,"CAN",,,,
"09000702102","Indian Creek","Indian Creek",,,"Ontario",,"CAN",,,,
"09000701902","Falcon Creek","Falcon Creek",,,"Ontario",,"CAN",,,,
"09000701802","Falcon Creek","Falcon Creek",,,"Ontario",,"CAN",,,,
"09000901702","Hickory Brook",,,,"Ontario",,"CAN",,,,
"09000900502","Grindstone Creek Tributary",,,,"Ontario",,"CAN",,,,
"09000900202","Grindstone Creek","Grindstone Creek",,,"Ontario",,"CAN",,,,
"09000900102","Grindstone Creek","Grindstone Creek",,,"Ontario",,"CAN",,,,
"09000800402","Spencer Creek","Spencer Creek",,,"Ontario",,"CAN",,,,
"09000800302","Spencer Creek West","Spencer Creek",,,"Ontario",,"CAN",,,,
"09000800202","Desjardins Canal","Borer's Creek",,,"Ontario",,"CAN",,,,
"09000800102","Spencer Creek","Coldwater Creek",,,"Ontario",,"CAN",,,,
"09000100402","Redhill Creek","Redhill Creek",,,"Ontario",,"CAN",,,,
"09000100302","Redhill Creek","Redhill Creek",,,"Ontario",,"CAN",,,,
"09000100202","Redhill Creek","Redhill Creek",,,"Ontario",,"CAN",,,,
"09000100102","Redhill Creek","Redhill Creek",,,"Ontario",,"CAN",,,,
"06008000702","Etobicoke Creek West","Etobicoke Creek",,,"Ontario",,"CAN",,,,
